Random Search
x,y,cost
1639,4,622
1067,407,1481
2298,573,1226
1358,1913,1350
628,974,1081
43,770,191
3365,1888,774
1878,234,262
3848,355,1993
307,671,228
3796,244,1046
1199,322,119
1651,164,197
2286,1740,1022
932,34,1625
1954,737,1183
2573,1231,1269
2759,1067,1588
3134,177,311
3125,1312,1585
1922,1845,754
518,452,296
3903,911,1635
949,576,1018
910,1383,1255
2678,1417,182
3991,1300,246
3660,427,1599
3069,412,1133
1774,1020,70
2097,299,81
11,1064,1203
661,87,903
973,984,1637
2662,1405,776
772,1422,150
2121,1641,859
2465,426,310
2218,431,1094
3016,260,34
816,83,607
3226,1399,1055
2237,764,323
2898,1609,168
901,745,1188
3842,1892,597
3474,1230,1389
3023,557,657
550,1241,379
2428,1551,891
2498,1204,450
34,1705,1371
1341,844,1284
990,47,1499
1902,1390,293
583,895,158
97,409,1025
2866,1409,939
3855,1808,1284
2398,214,497
3697,324,394
3166,973,557
2578,1230,1855
656,226,931
3134,1169,420
278,318,1655
227,534,986
729,356,976
60,1148,839
3691,1650,1075
1795,337,1802
3797,990,1716
1675,616,491
2943,1341,104
2682,984,960
1838,1943,43
3735,514,1106
262,1669,1307
2207,907,1687
922,1647,785
2559,975,1478
262,362,1931
1065,1451,526
373,80,931
1285,1233,1686
1823,868,445
3507,486,1856
2540,260,1935
771,1904,1497
535,1791,1423
3688,759,727
2504,302,297
2346,573,1500
2337,850,962
3828,57,178
389,1979,686
3846,256,1947
501,1290,5
724,765,581
2371,371,834

Nearest Neighbor
x,y,cost
3069,412,1133
3016,260,34
3134,177,311
3828,57,178
3697,324,394
3688,759,727
3991,1300,246
2943,1341,104
2898,1609,168
2678,1417,182
2498,1204,450
1774,1020,70
1823,868,445
2097,299,81
1878,234,262
1651,164,197
1199,322,119
518,452,296
307,671,228
43,770,191
501,1290,5
550,1241,379
772,1422,150
583,895,158
724,765,581
1065,1451,526
1838,1943,43
1902,1390,293
2237,764,323
2465,426,310
2504,302,297
2398,214,497
2371,371,834
1675,616,491
1639,4,622
816,83,607
661,87,903
656,226,931
729,356,976
949,576,1018
901,745,1188
628,974,1081
60,1148,839
11,1064,1203
227,534,986
97,409,1025
373,80,931
278,318,1655
262,362,1931
922,1647,785
389,1979,686
262,1669,1307
34,1705,1371
535,1791,1423
771,1904,1497
910,1383,1255
1922,1845,754
2121,1641,859
2428,1551,891
2662,1405,776
3134,1169,420
3166,973,557
3023,557,657
2682,984,960
2337,850,962
2298,573,1226
2218,431,1094
1954,737,1183
1341,844,1284
1067,407,1481
990,47,1499
932,34,1625
973,984,1637
1285,1233,1686
1358,1913,1350
2286,1740,1022
2866,1409,939
3226,1399,1055
3365,1888,774
3842,1892,597
3691,1650,1075
3855,1808,1284
3474,1230,1389
3735,514,1106
3796,244,1046
3660,427,1599
3507,486,1856
3903,911,1635
3797,990,1716
3125,1312,1585
2573,1231,1269
2559,975,1478
2759,1067,1588
2578,1230,1855
2207,907,1687
2346,573,1500
2540,260,1935
1795,337,1802
3846,256,1947
3848,355,1993

Nearest Neighbor Flexible
x,y,cost
1341,844,1284
2346,573,1500
2298,573,1226
1954,737,1183
2371,371,834
2218,431,1094
2398,214,497
1199,322,119
1639,4,622
816,83,607
932,34,1625
990,47,1499
1823,868,445
1067,407,1481
518,452,296
729,356,976
949,576,1018
583,895,158
307,671,228
43,770,191
1675,616,491
60,1148,839
1285,1233,1686
973,984,1637
901,745,1188
11,1064,1203
227,534,986
656,226,931
97,409,1025
262,362,1931
278,318,1655
373,80,931
661,87,903
501,1290,5
628,974,1081
1065,1451,526
910,1383,1255
922,1647,785
550,1241,379
389,1979,686
771,1904,1497
34,1705,1371
535,1791,1423
262,1669,1307
772,1422,150
724,765,581
2097,299,81
1878,234,262
1774,1020,70
2237,764,323
1902,1390,293
2498,1204,450
1838,1943,43
1358,1913,1350
2121,1641,859
1922,1845,754
2678,1417,182
2286,1740,1022
2428,1551,891
2662,1405,776
1651,164,197
1795,337,1802
2207,907,1687
2943,1341,104
2559,975,1478
2337,850,962
2898,1609,168
2578,1230,1855
2573,1231,1269
2465,426,310
2682,984,960
2866,1409,939
2759,1067,1588
3134,1169,420
3226,1399,1055
2504,302,297
2540,260,1935
3125,1312,1585
3166,973,557
3016,260,34
3697,324,394
3828,57,178
3796,244,1046
3846,256,1947
3023,557,657
3848,355,1993
3688,759,727
3991,1300,246
3797,990,1716
3903,911,1635
3134,177,311
3842,1892,597
3855,1808,1284
3365,1888,774
3474,1230,1389
3691,1650,1075
3735,514,1106
3069,412,1133
3507,486,1856
3660,427,1599

Greedy Cycle
x,y,cost
2428,1551,891
2898,1609,168
3365,1888,774
3842,1892,597
3855,1808,1284
3691,1650,1075
3991,1300,246
3797,990,1716
3903,911,1635
3688,759,727
3735,514,1106
3848,355,1993
3846,256,1947
3796,244,1046
3828,57,178
3697,324,394
3660,427,1599
3507,486,1856
3474,1230,1389
3226,1399,1055
3125,1312,1585
3134,1169,420
3166,973,557
2943,1341,104
2866,1409,939
2678,1417,182
2662,1405,776
2578,1230,1855
2573,1231,1269
2498,1204,450
2759,1067,1588
2682,984,960
2559,975,1478
2337,850,962
2207,907,1687
2237,764,323
2346,573,1500
2298,573,1226
2218,431,1094
2371,371,834
2465,426,310
3023,557,657
3069,412,1133
3016,260,34
3134,177,311
2540,260,1935
2504,302,297
2398,214,497
2097,299,81
1878,234,262
1795,337,1802
1651,164,197
1639,4,622
990,47,1499
932,34,1625
816,83,607
661,87,903
656,226,931
729,356,976
518,452,296
373,80,931
278,318,1655
262,362,1931
97,409,1025
227,534,986
307,671,228
43,770,191
11,1064,1203
60,1148,839
501,1290,5
550,1241,379
772,1422,150
535,1791,1423
262,1669,1307
34,1705,1371
389,1979,686
771,1904,1497
922,1647,785
1065,1451,526
910,1383,1255
1285,1233,1686
973,984,1637
628,974,1081
583,895,158
724,765,581
901,745,1188
949,576,1018
1067,407,1481
1199,322,119
1341,844,1284
1675,616,491
1954,737,1183
1823,868,445
1774,1020,70
1902,1390,293
1358,1913,1350
1838,1943,43
1922,1845,754
2121,1641,859
2286,1740,1022

